headline,summary,source,link,word_count,scraped_at
"COP30: Trump and many leaders are skipping it, so does the summit still have a point?","The US president is notably absent from these UN climate talks, as are other world leaders, all of which prompts questions about the purpose of COP today.",BBC Science,https://www.bbc.com/news/articles/c205jvyg3wjo?at_medium=RSS&at_campaign=rss,16,2026-05-20 09:13:33
Faisal Islam: Why a full HS2 line could still be built despite the latest fiasco,The Transport Secretary has said the high-speed rail line will not be completed until 2039.,BBC Top Stories,https://www.bbc.com/news/articles/cvgzrle9441o?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
HMRC to use AI from British tech firm to spot fraud and tax return errors,"Quantexa, a financial data platform, won the £175m contract to spot fraud and tax return errors.",BBC Technology,https://www.bbc.com/news/articles/c7v9ld262n4o?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
The Republican who stood up to Trump is hoping for a big win against president,"Kentucky Congressman Thomas Massie, who has crossed Trump on federal spending and the Epstein files, faces Republican voters.",BBC World,https://www.bbc.com/news/articles/cz924g45530o?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
"Trump endorses Paxton in Texas, gambling on a challenger with baggage in a crucial race","Trump's move dismayed Senate Republicans, many of whom have served with the Texan for decades.",BBC Top Stories,https://www.bbc.com/news/articles/cy72v488g4go?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
"Claim, counter-claim and tech's seedy side exposed: Five things we learned in the Musk-Altman trial","As the jury deliberates, this is what we found out during the weeks-long trial with two tech titans at its heart.",BBC Technology,https://www.bbc.com/news/articles/cg7pj8p5mv4o?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
"AI could put people off tech jobs and hurt the economy, warns Raspberry Pi boss",Eben Upton warns against claims that Artificial Intelligence will destroy vast numbers of computing roles over the coming years.,BBC Technology,https://www.bbc.com/news/articles/clypr8p2lewo?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
Why cheap power could matter more than clean power in the push for net zero,The question of how important making our electricity clean is to going green is coming under increasing scrutiny,BBC Science,https://www.bbc.com/news/articles/c86ey5n9vx9o?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
Hovering objects and flashing lights: what we learned from UFO documents released by the Pentagon,"The US has published transcripts, video clips and audio recordings about unidentified flying objects.",BBC Science,https://www.bbc.com/news/articles/c1m2epkey44o?at_medium=RSS&at_campaign=rss,15,2026-05-20 09:13:33
Zoe Kleinman: Why the AI industry is the real winner of the Musk-Altman trial,"The trial in Oakland, California has helped lift the veil on the AI sector - and the huge egos of the men at the heart of it.",BBC Technology,https://www.bbc.com/news/articles/crlp991nw41o?at_medium=RSS&at_campaign=rss,14,2026-05-20 09:13:33
Disabled man 'rotting' on a hospital ward - despite being fit to go home,Ravi Mehta says his care could be terminated if he self-discharged. His NHS care board says its decisions have not been driven by costs.,BBC Top Stories,https://www.bbc.com/news/articles/c2e2zvlyy38o?at_medium=RSS&at_campaign=rss,14,2026-05-20 09:13:33
Trump administration unveils $1.8bn fund to compensate his allies as he drops tax lawsuit,The settlement will go towards individuals who allege they were subjected to unfair investigations.,BBC World,https://www.bbc.com/news/articles/cvgzr7vr203o?at_medium=RSS&at_campaign=rss,14,2026-05-20 09:13:33
£20m mystery gift buys London Zoo new hospital where you can watch vets work,Visitors will be able to watch live veterinary procedures inside a state-of-the-art new animal hospital.,BBC Science,https://www.bbc.com/news/articles/cpqpj7wy4x4o?at_medium=RSS&at_campaign=rss,14,2026-05-20 09:13:33
